Item ID,Item_Description,Category,Year_Month_Str,Year,Month,Total_Qty_Sold,Num_Orders,Num_Days_With_Sales,Avg_Qty_Per_Order,Avg_Unit_Price,Median_Unit_Price,Min_Unit_Price,Max_Unit_Price,Std_Unit_Price,Price_Change_Pct,Total_Revenue,Qty_Lag_1,Qty_Lag_2,Qty_Lag_3,Qty_Rolling_3M_Avg,Qty_Rolling_6M_Avg,Qty_Growth_Pct,Lifetime_Total_Qty,Lifetime_Avg_Price,Months_Since_Launch
S01-EXTBKE-BLAK,Extendable Bookend - Black,Home & Living,2023-02,2023,2,1,1,1,1.0,219.0,219.0,219.0,219.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,1,219.0,0
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-01,2023,1,25,24,17,1.04,179.0,179.0,179.0,179.0,0.0,0.0,4475.0,0.0,0.0,0.0,0.0,0.0,0.0,313,184.66,0
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-02,2023,2,18,17,12,1.06,186.65,189.0,179.0,189.0,4.37,4.27,3362.0,25.0,0.0,0.0,25.0,25.0,-28.0,313,184.66,1
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-03,2023,3,15,15,11,1.0,189.0,189.0,189.0,189.0,0.0,1.26,2835.0,18.0,25.0,0.0,21.5,21.5,-16.67,313,184.66,2
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-04,2023,4,17,17,12,1.0,189.0,189.0,189.0,189.0,0.0,0.0,3213.0,15.0,18.0,25.0,19.33,19.33,13.33,313,184.66,3
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-05,2023,5,10,10,8,1.0,189.0,189.0,189.0,189.0,0.0,0.0,1890.0,17.0,15.0,18.0,16.67,18.75,-41.18,313,184.66,4
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-06,2023,6,14,13,10,1.08,188.38,189.0,185.0,189.0,1.5,-0.33,2638.0,10.0,17.0,15.0,14.0,17.0,40.0,313,184.66,5
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-07,2023,7,18,17,13,1.06,188.06,189.0,185.0,189.0,1.75,-0.17,3386.0,14.0,10.0,17.0,13.67,16.5,28.57,313,184.66,6
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-08,2023,8,11,10,10,1.1,189.0,189.0,189.0,189.0,0.0,0.5,2079.0,18.0,14.0,10.0,14.0,15.33,-38.89,313,184.66,7
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-09,2023,9,19,19,16,1.0,188.58,189.0,185.0,189.0,1.26,-0.22,3583.0,11.0,18.0,14.0,14.33,14.17,72.73,313,184.66,8
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-10,2023,10,10,10,9,1.0,188.6,189.0,185.0,189.0,1.26,0.01,1886.0,19.0,11.0,18.0,16.0,14.83,-47.37,313,184.66,9
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-11,2023,11,20,18,12,1.11,186.11,185.0,185.0,189.0,1.84,-1.32,3724.0,10.0,19.0,11.0,13.33,13.67,100.0,313,184.66,10
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2023-12,2023,12,13,13,11,1.0,185.0,185.0,185.0,185.0,0.0,-0.6,2405.0,20.0,10.0,19.0,16.33,15.33,-35.0,313,184.66,11
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-01,2024,1,13,13,12,1.0,182.23,185.0,179.0,185.0,3.11,-1.5,2369.0,13.0,20.0,10.0,14.33,15.17,0.0,313,184.66,12
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-02,2024,2,8,8,7,1.0,180.5,179.0,179.0,185.0,2.78,-0.95,1444.0,13.0,13.0,20.0,15.33,14.33,-38.46,313,184.66,13
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-03,2024,3,19,18,14,1.06,181.0,179.0,179.0,185.0,2.91,0.28,3437.0,8.0,13.0,13.0,11.33,13.83,137.5,313,184.66,14
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-04,2024,4,11,10,9,1.1,181.4,179.0,179.0,185.0,3.1,0.22,1993.0,19.0,8.0,13.0,13.33,13.83,-42.11,313,184.66,15
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-05,2024,5,9,9,7,1.0,181.0,179.0,179.0,185.0,3.0,-0.22,1629.0,11.0,19.0,8.0,12.67,14.0,-18.18,313,184.66,16
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-06,2024,6,15,15,14,1.0,181.0,179.0,179.0,185.0,2.93,0.0,2715.0,9.0,11.0,19.0,13.0,12.17,66.67,313,184.66,17
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-07,2024,7,4,4,4,1.0,180.5,179.0,179.0,185.0,3.0,-0.28,722.0,15.0,9.0,11.0,11.67,12.5,-73.33,313,184.66,18
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-08,2024,8,5,5,5,1.0,183.8,185.0,179.0,185.0,2.68,1.83,919.0,4.0,15.0,9.0,9.33,11.0,25.0,313,184.66,19
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-09,2024,9,6,6,6,1.0,182.0,182.0,179.0,185.0,3.29,-0.98,1092.0,5.0,4.0,15.0,8.0,10.5,20.0,313,184.66,20
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-10,2024,10,8,8,7,1.0,182.0,182.0,179.0,185.0,3.21,0.0,1456.0,6.0,5.0,4.0,5.0,8.33,33.33,313,184.66,21
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-11,2024,11,7,6,6,1.17,183.0,185.0,179.0,185.0,3.1,0.55,1283.0,8.0,6.0,5.0,6.33,7.83,-12.5,313,184.66,22
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2024-12,2024,12,7,7,7,1.0,179.86,179.0,179.0,185.0,2.27,-1.72,1259.0,7.0,8.0,6.0,7.0,7.5,0.0,313,184.66,23
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2025-01,2025,1,4,4,4,1.0,183.5,185.0,179.0,185.0,3.0,2.02,734.0,7.0,7.0,8.0,7.33,6.17,-42.86,313,184.66,24
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2025-02,2025,2,4,4,4,1.0,182.0,182.0,179.0,185.0,3.46,-0.82,728.0,4.0,7.0,7.0,6.0,6.17,0.0,313,184.66,25
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2025-03,2025,3,2,2,2,1.0,182.0,182.0,179.0,185.0,4.24,0.0,364.0,4.0,4.0,7.0,5.0,6.0,-50.0,313,184.66,26
S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,Organizers,2025-04,2025,4,1,1,1,1.0,185.0,185.0,185.0,185.0,0.0,1.65,185.0,2.0,4.0,4.0,3.33,5.33,-50.0,313,184.66,27
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2023-01,2023,1,27,27,19,1.0,192.33,199.0,179.0,199.0,9.61,0.0,5193.0,0.0,0.0,0.0,0.0,0.0,0.0,363,197.83,0
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2023-02,2023,2,20,20,13,1.0,194.0,199.0,179.0,199.0,8.89,0.87,3880.0,27.0,0.0,0.0,27.0,27.0,-25.93,363,197.83,1
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2023-03,2023,3,26,26,13,1.0,190.54,199.0,179.0,199.0,10.08,-1.78,4954.0,20.0,27.0,0.0,23.5,23.5,30.0,363,197.83,2
