,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments
,240401HGHQ8Q2M,S28-GRWBG2-LB03,Gardening Grow Bag Design 2 - Light Brown - 3 Gallon (25*22cm),5,45.00,31,
,240401HGHQ8Q2M,S28-GRWBG2-GN05,Gardening Grow Bag Design 2 - Green - 5 Gallon (30*25cm),5,55.00,30,
,240401HGHQ8Q2M,S24-CEJTWT-RDCB,Card Ejector with Leather Wallet - Red Carbon Fiber with Buckle,1,209.00,24,
,240401HGHQ8Q2M,S22-CEJTWT-DBWN,Card Ejector with Leather Wallet - Dark Brown,1,199.00,28,
,240401HMCBM8PR,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,240401HN9ECQHW,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,240401HSTVCFSE,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,30,
,240401HT81V2R0,S13-FNAILC-0000,Flat Nailcutter Keychain,1,79.00,28,
,240401HV25HW83,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240401HXBEM46C,S26-RFIDMC-PLBL,RFID Card Wallet with Money Clip - Plain Blue,1,239.00,30,
,240401J1Y7MJFS,S05-RFIDWL-REDD,RFID Card Wallet - Red,2,55.00,28,
,240401J1Y7MJFS,S05-RFIDWL-RGLD,RFID Card Wallet - Rose Gold,2,55.00,27,
,240401J3DDTWVU,S11-SQTOIL-BLCK,Square Toiletry Organizer - Black,1,199.00,26,
,240401J83EN7AF,S22-LMSWST-NAVY,Plain Leather Magsafe Snap On Wallet with Stand - Navy,1,149.00,30,
,240401J8WQTN82,S14-MGSWLT-BLCK,Magsafe Wallet - Black,1,139.00,30,
,240401JB3FDFQQ,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,30,
,240401JE615SD4,S06-LDHAMP-LPNP,Laundry Hamper - Large Pineapple,1,179.00,25,
,240401JFY0MSRA,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240401JNQC1CMJ,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),5,79.00,31,
,240401JNW35A5C,S28-GRWBG2-LB10,Gardening Grow Bag Design 2 - Light Brown - 10 Gallon (40*30cm),2,89.00,28,
,240401JNW35A5C,S31-GRWBG2-LB07,Gardening Grow Bag Design 2 - Light Brown - 7 Gallon (35*30cm),3,79.00,31,
,240401JQQQYT7K,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240401JU5RW0W3,S06-WBKEND-NRND,Wooden Bookend - Nature Round Corner,2,99.00,25,
,240401JUSYG0B1,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240401JW5Y3WG7,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,240401K2AP3YQ9,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,31,
,240401K2AP3YQ9,S15-LDHAMP-MGFS,Laundry Hamper - Medium Green Fish,1,155.00,20,
,240401K9H9M4BQ,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,175.00,28,
,240401KB8QEMQF,S25-LDHAMP-LVDN,Laundry Hamper - Large Dark Blue Varying Dinosaurs,1,195.00,31,
,240401KCUN9FDD,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,185.00,28,
,240401KEXXQY2J,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240401KHM4AVNP,S21-LDHAMP-LCTV,Laundry Hamper - Large Construction Vehicles,1,199.00,30,
,240401KHM4AVNP,S21-LDHAMP-LACF,Laundry Hamper - Large Aircraft,1,199.00,25,
,240401KM5NJPWP,S10-LDHAMP-SCAT,Laundry Hamper - Small Cats,1,99.00,30,
,240401KN5QQNT1,S20-PHWGHA-BLCK,Portable Hanging Digital Weighing Scale - Black,2,168.00,28,
,240401KRUJJJWX,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,240401KW56N2S8,S22-LMSWST-YLLW,Plain Leather Magsafe Snap On Wallet with Stand - Yellow,1,149.00,30,
,812349457961992,S13-FNAILC-0000,Flat Nailcutter Keychain,1,79.00,28,
,818312196158596,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,812487270308229,S10-LDHAMP-LRBT,Laundry Hamper - Large Rabbit,1,185.00,30,
,812633487113234,S06-LDHAMP-LHPP,Laundry Hamper - Large Hippo,1,199.00,28,
,812633487113234,S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,1,199.00,28,
,812654698746242,S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,1,169.00,30,
,812690425740995,S04-WBKEND-0SQR,Wooden Bookend - No Print Square Corner,2,99.00,29,
,812699483349744,S23-LMFPSS-GOLD,PU Leather Multi-function Passport Holder - Gold,1,125.00,29,
,818659947959116,S23-LMFPSS-REDD,PU Leather Multi-function Passport Holder - Red,1,125.00,29,
,818659947959116,S19-LMFPSS-BLCK,PU Leather Multi-function Passport Holder - Black,1,125.00,29,
,812760201125976,S06-WBKEND-NSQR,Wooden Bookend - Nature Square Corner,2,99.00,25,
,812784649328255,S16-SLCODR-PINK,Silicone Coaster Design Drain - Pink,4,42.00,20,
,812836624382842,S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,1,169.00,30,
,240402M17Y9X1U,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,30,
,240402M17Y9X1U,S26-MKYHDR-BLCK,Metal Key Holder - Black,1,69.00,28,
,240402M58KDM7B,S06-LDHAMP-LBDN,Laundry Hamper - Large Blue Dinosaur,1,199.00,28,
,240402M6RTFEHB,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,1,239.00,30,
,240402MQYK9UWP,S19-LDHAMP-MSBL,Laundry Hamper - Medium Sports Balls,1,159.00,28,
,240402MU70JFXS,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,31,
,240402MYR6UTHV,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,240402MYR6UTHV,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,31,
,240402N0BDY3DN,S20-PRSBT1-BLCK,10ml Perfume Alcohol Spray Bottle - Black,1,25.00,27,
,240402N1M7JE95,S20-8TBOTS-PINK,8-in-1 Travel Bottle Set - Stupid Little Elephant - Pink,1,99.00,27,
,240402N1UM288W,S22-LMSWST-NAVY,Plain Leather Magsafe Snap On Wallet with Stand - Navy,1,149.00,30,
,240402N1Y2NXKV,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,
,240402N2N4E4E6,S11-SQTOIL-REDD,Square Toiletry Organizer - Red,1,199.00,23,
,240402N5PSHJ4J,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,
,240402N6CX433W,S19-LDHAMP-MCTV,Laundry Hamper - Medium Construction Vehicles,1,159.00,28,
,240402N7EC5BPG,S30-LMSWST-LBRW,Plain Leather Magsafe Snap On Wallet with Stand - Light Brown,1,149.00,30,
,240402N83WQH5P,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,30,
,240402N88U0CYT,S08-LDHAMP-LHPB,Laundry Hamper - Large Hippo Balloon,1,199.00,30,
,240402N8SWHHC7,S06-WBKEND-NSQR,Wooden Bookend - Nature Square Corner,2,99.00,25,
,240402NATG5394,S31-GRWBG2-LB07,Gardening Grow Bag Design 2 - Light Brown - 7 Gallon (35*30cm),2,79.00,31,
