,,,,,,,,
,Order ID,Item ID,Item Description,Quantity,Unit Price When Sold,Shipment,Comments,
,240601SC1Q7HMU,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,31,,
,240601SC1Q7HMU,S26-RFIDMC-HCBK,RFID Card Wallet with Money Clip - Honeycomb Black,1,299.00,33,,
,240601SC1Q7HMU,S13-MNYCLP-GOLD,Money Clip Steel - Gold,1,42.00,30,,
,240601SGF0H8RX,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,,
,240601SPXPR1TR,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,,
,240601SPXPR1TR,S31-SLCAPD-MLP2,Silicone Case Bluetooth Earphones - Pro 2nd Gen - Marshall,1,69.00,31,,
,240601T0869Y5T,S28-GRWBG2-GY20,Gardening Grow Bag Design 2 - Gray - 20 Gallon (50*40cm),4,119.00,33,,
,240601T493V25R,S19-LMFPSS-SLVR,PU Leather Multi-function Passport Holder - Silver,1,119.00,30,,
,240601T5396PB7,S31-GRWBG2-LB07,Gardening Grow Bag Design 2 - Light Brown - 7 Gallon (35*30cm),5,79.00,33,,
,240601T9BASH7V,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,,
,240601TATTWTGB,S22-TCHORG-BLCK,Travel Tech Organizer Customizable - Black,1,199.00,29,,
,240601TATTWTGB,S30-SETLUG-BLK6,Set Travel Luggage Organizer - Set of 6 - Black,1,179.00,31,,
,240601TBK534TE,S13-FNAILC-0000,Flat Nailcutter Keychain,1,79.00,28,,
,240601TGR7GGJ3,S20-SLCAPD-P1SW,Silicone Case Bluetooth Earphones - Pro 1st Gen - Switch,1,69.00,32,,
,240601THY4YS1R,S11-LDHAMP-MRSY,Laundry Hamper - Medium Red Strawberry,1,165.00,31,,
,240601TMNDW5DQ,S10-LDHAMP-SCAT,Laundry Hamper - Small Cats,3,99.00,32,,
,240601TNR05U2Q,S26-RFIDMC-HCBK,RFID Card Wallet with Money Clip - Honeycomb Black,1,299.00,33,,
,240601TP9WAQPG,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,31,,
,240601TP9WAQPG,S31-ACPPCH-SORG,Auto-close PU Leather Pouch - Small Orange,2,39.00,31,,
,240601TP9WAQPG,S31-ACPPCH-SBLU,Auto-close PU Leather Pouch - Small Blue,2,39.00,31,,
,240601TP9WAQPG,S31-ACPPCH-SPNK,Auto-close PU Leather Pouch - Small Pink,2,39.00,31,,
,240601TP9WAQPG,S31-ACPPCH-SGRN,Auto-close PU Leather Pouch - Small Green,2,39.00,31,,
,240601TQNJFA7A,S02-VACBTR-TR57,Vacuum Bags Transparent - 50x70cm,1,33.80,28,,
,240601TQNJFA7A,S02-VACBTR-TR68,Vacuum Bags Transparent - 60x80cm,1,42.47,25,,
,240601TQNJFA7A,S02-VACBTR-TR7H,Vacuum Bags Transparent - 70x100cm,1,59.80,28,,
,240601TQNJFA7A,S02-VACBTR-HPMP,Vacuum Bags Transparent - Hand Pump,1,33.80,28,,
,240601TQNJFA7A,S02-VACBHR-S350,Vacuum Bags Handroll - Sea 35x50cm,1,25.13,14,,
,240601TQNJFA7A,S17-DPCTWL-FA24,Disposable Compressed Towel - Face Brand A (yifuyan) 24x30,1,45.00,20,,
,240601TQNJFA7A,S31-ACPPCH-LPNK,Auto-close PU Leather Pouch - Large Pink,1,49.00,31,,
,240601TQNJFA7A,S31-SETLUG-PNK7,Set Travel Luggage Organizer - Set of 7 - Pink,1,249.00,32,,
,240601TRKFWX6N,S18-DIACO1-RDGY,Diatomite Coaster Design 1 - Hard - Round Dark Gray,3,45.00,28,,
,240601TRKFWX6N,S18-DIACO1-SDGY,Diatomite Coaster Design 1 - Hard - Square Dark Gray,3,45.00,28,,
,240601TSETFFP1,S26-RFIDMC-HCBK,RFID Card Wallet with Money Clip - Honeycomb Black,1,299.00,33,,
,240601TUDG06S6,S16-SLCODR-GRAY,Silicone Coaster Design Drain - Gray,1,42.00,28,,
,240601TUDG06S6,S16-SLCODR-PINK,Silicone Coaster Design Drain - Pink,1,42.00,20,,
,240601TWCG4D0K,S28-GRWBG2-GY05,Gardening Grow Bag Design 2 - Gray - 5 Gallon (30*25cm),5,59.00,33,,
,240601TWT3VQN0,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),5,79.00,33,,
,240601U242H64P,S28-GRWBG2-BK05,Gardening Grow Bag Design 2 - Black - 5 Gallon (30*25cm),2,49.00,33,,
,240601U3UFB34Y,S05-RFIDWL-RGLD,RFID Card Wallet - Rose Gold,1,55.00,27,,
,240601U3UFB34Y,S32-STLUG2-PNK7,Set Travel Luggage Organizer Style 2 - Set of 7 - Pink,1,329.00,32,,
,240601U55MS4E7,S26-RETVNC-SET2,Retro Vinyl Coaster - Set of 2,1,79.00,26,,
,240601U55MS4E7,S26-RETVNC-SET6,Retro Vinyl Coaster - Set of 6,1,179.00,28,,
,240601U5V20JP0,S22-LMSWST-GREN,Plain Leather Magsafe Snap On Wallet with Stand - Green,1,149.00,30,,
,240601UBQPA62X,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,31,,
,240601UFC3CS0C,S28-GRWBG2-GN10,Gardening Grow Bag Design 2 - Green - 10 Gallon (40*30cm),2,85.00,31,,
,240601UGEDYKV3,S31-FELTBG-LBEG,Felt Insert Bag with Multi Pockets - Beige Large (28*25*17cm),1,162.00,31,,
,240601UGF3WJYR,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,,
,240601UJ4PNG7R,S26-RFIDMC-PLBK,RFID Card Wallet with Money Clip - Plain Black,1,239.00,31,,
,240601UPMMV6JJ,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,33,,
,240601UQ2R0CQP,S14-PCTOIL-GRAY,Pouch Toiletry Organizer - Gray,1,139.00,30,,
,240601URF0586A,S20-SLCAPD-R3CR,Silicone Case Bluetooth Earphones - 3rd Gen - Carbon Fiber Texture - Red,1,119.00,28,,
,240601UT0H6JQP,S27-SLCAPD-2PCG,Silicone Case Bluetooth Earphones - Pro 2nd Gen - Controller - Gray,1,169.00,31,,
,240601UT0H6JQP,S20-SLCAPD-P1SW,Silicone Case Bluetooth Earphones - Pro 1st Gen - Switch,1,69.00,32,,
,240601UTQ9SK3S,S20-SLCAPD-R1SW,Silicone Case Bluetooth Earphones - 3rd Gen - Switch,1,69.00,33,,
,849970943978261,S19-FELTFO-MBEG,Felt Foldable Organizer - Medium Beige,3,85.00,31,,
,849990783131379,S28-GRWBG2-BK02,Gardening Grow Bag Design 2 - Black - 2 Gallon (20*20cm),8,29.00,33,,
,850000769433602,S18-DIACO1-SDGY,Diatomite Coaster Design 1 - Hard - Square Dark Gray,2,45.00,28,,
,844051034688654,S11-SQTOIL-PURP,Square Toiletry Organizer - Purple,1,199.00,26,,
,850152972074104,S19-LMFPSS-BLUE,PU Leather Multi-function Passport Holder - Blue,1,125.00,30,,
,844212463700910,S27-SPNSS4-DGRN,Spatter-proof Nailcutter Set (Set of 4) - Dark Green,3,88.00,"31, 33",,
,850316510557933,S19-LDHAMP-MSBL,Laundry Hamper - Medium Sports Balls,1,169.00,28,,
,850303734824259,S22-LMSWST-NAVY,Plain Leather Magsafe Snap On Wallet with Stand - Navy,1,149.00,32,,
,844241685165170,S28-GRWBG2-GN05,Gardening Grow Bag Design 2 - Green - 5 Gallon (30*25cm),1,55.00,33,,
,844241685165170,S28-GRWBG2-GN03,Gardening Grow Bag Design 2 - Green - 3 Gallon (25*22cm),5,45.00,33,,
,844241685165170,S28-GRWBG2-LB03,Gardening Grow Bag Design 2 - Light Brown - 3 Gallon (25*22cm),5,65.00,33,,
,844241685165170,S28-GRWBG2-LB05,Gardening Grow Bag Design 2 - Light Brown - 5 Gallon (30*25cm),5,59.00,33,,
,850381563848102,S27-LMSWS2-BLCK,Plain Leather Magsafe Snap On Wallet with Stand Design 2 - Black,1,139.00,31,,
,844290895281125,S27-LMSWS2-PURP,Plain Leather Magsafe Snap On Wallet with Stand Design 2 - Purple,1,139.00,31,,
,240602UUP5S5HY,S19-WBKEND-WLR0,Wooden Bookend - Dark Walnut Large Round No Logo,2,279.00,31,,
,240602UVP43Y26,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,30,,
,240602UW5AHJS4,S11-LDHAMP-MCGR,Laundry Hamper - Medium Colorful Graffiti,1,159.00,31,,
,240602UW5AHJS4,S10-LDHAMP-SCAT,Laundry Hamper - Small Cats,1,99.00,32,,
,240602UXMPTC8B,S19-LMFPSS-BLUE,PU Leather Multi-function Passport Holder - Blue,1,119.00,30,,
,240602VMUHUE2Y,S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,1,185.00,32,,
,240602VNFGTNV6,S28-GRWBG2-BK02,Gardening Grow Bag Design 2 - Black - 2 Gallon (20*20cm),12,29.00,33,,
,240602VQRANQ8X,S11-LDHAMP-MGBY,Laundry Hamper - Medium Gray Bunny,1,159.00,31,,
,240602VSKHKVWE,S28-GRWBG2-BK10,Gardening Grow Bag Design 2 - Black - 10 Gallon (40*30cm),12,79.00,33,,
,240602VSKHKVWE,S30-GRWBG2-BK07,Gardening Grow Bag Design 2 - Black - 7 Gallon (35*30cm),7,59.00,33,,
,240602VTRBCPGP,S28-GRWBG2-LB05,Gardening Grow Bag Design 2 - Light Brown - 5 Gallon (30*25cm),6,59.00,33,,
,240602VUSA7JBD,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,,
,240602VVYB28MJ,S11-LDHAMP-MRSY,Laundry Hamper - Medium Red Strawberry,1,165.00,31,,
,240602VXU43NX1,S06-LDHAMP-LPEN,Laundry Hamper - Large Penguin,1,199.00,31,,
,24060206CFC3W9,S29-SMTPCH-GRAY,Small Multi-purpose Pouch - Gray,1,209.00,29,,
,2406020B03UXKK,S28-SLCAPD-NCR3,Silicone Case Bluetooth Earphones - 3rd Gen - Famicom,1,79.00,30,,
,2406020CM5X36G,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,1,199.00,28,,
,2406020E0AC523,S31-GRWBG2-LB07,Gardening Grow Bag Design 2 - Light Brown - 7 Gallon (35*30cm),12,79.00,33,,
,2406020FFPQM1N,S28-GRWBG2-LB05,Gardening Grow Bag Design 2 - Light Brown - 5 Gallon (30*25cm),2,59.00,33,,
,2406020FFPQM1N,S28-GRWBG2-BK01,Gardening Grow Bag Design 2 - Black - 1 Gallon (18*15cm) no handle,1,25.00,31,,
,2406020GW34UEU,S27-LMSWS2-BLCK,Plain Leather Magsafe Snap On Wallet with Stand Design 2 - Black,1,139.00,31,,
,2406020GW34UEU,S27-LMSWS2-NAVY,Plain Leather Magsafe Snap On Wallet with Stand Design 2 - Navy,1,139.00,31,,
,2406020H11Y2XV,S08-LDHAMP-LOWL,Laundry Hamper - Large Owl,1,199.00,30,,
,2406020H11Y2XV,S01-LDHAMP-LDUK,Laundry Hamper - Large Duck,1,179.00,30,,
,2406020H11Y2XV,S08-LDHAMP-LHPB,Laundry Hamper - Large Hippo Balloon,1,199.00,30,,
,2406020NVYMENR,S03-HKCHAT-BLCK,Hat Hook - Black,1,219.00,28,,
,2406020QM025T9,S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,1,199.00,28,,
,2406020QV4EW62,S06-LDHAMP-LELE,Laundry Hamper - Large Elephant,1,199.00,30,,
,2406020QV4EW62,S22-MNYCLP-SDLR,Money Clip Steel - Silver Dollar Sign,1,65.00,29,,
,2406020QV4EW62,S13-MNYCLP-SLVR,Money Clip Steel - Silver,1,39.00,31,,
,2406020RAVGT4N,S31-FELTBG-SBEG,Felt Insert Bag with Multi Pockets - Beige Small (21*17*13cm),1,118.00,31,,
,2406020SBSCVX6,S10-FOLDFL-LBLN,Foldable File Organizer - Large Black No OPP,4,79.00,28,,
,2406020THRCBBM,S27-SPNSS4-DGRN,Spatter-proof Nailcutter Set (Set of 4) - Dark Green,1,88.00,33,,
,2406020UD8KN3E,S26-RFIDMC-PLGY,RFID Card Wallet with Money Clip - Plain Gray,1,239.00,30,,
,2406020UD8KN3E,S31-ACPPCH-LORG,Auto-close PU Leather Pouch - Large Orange,1,49.00,31,,
,2406020UEBVW4V,S21-LGDCAL-OENG,Lego DIY Calendar - Orange - Engineer,1,249.00,30,,
,2406020V2CRYH2,S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,2,199.00,28,,
,2406020VN6HT47,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,,
,2406020VN6HT47,S22-LMSWST-PURP,Plain Leather Magsafe Snap On Wallet with Stand - Purple,1,149.00,32,,
,2406020X0H3XEN,S19-LDHAMP-MACF,Laundry Hamper - Medium Aircraft,1,159.00,25,,
,2406020XJ0WNS9,S10-LDHAMP-LRBT,Laundry Hamper - Large Rabbit,1,185.00,30,,
,24060212SBMG1N,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,,
,2406021353A05K,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,,
,2406021353A05K,S11-TBTOIL-DGRY,Tube Toiletry Organizer - Dark Gray,1,179.00,16,,
,24060214067QVF,S27-APDCSE-SBP2,Airpod Case - Side Lock Style - Black - Pro 2nd Gen,1,159.00,32,,
,24060214A8HQWB,S06-LDHAMP-LELE,Laundry Hamper - Large Elephant,2,199.00,30,,
,24060217ECWWXU,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,,
,2406031BND3NMR,S31-COLTWL-DGRY,Microfiber Cooling Towel (30*80cm)  - Dark Gray,3,25.00,33,,
,2406031E8D0YQ0,S08-LDHAMP-LPDN,Laundry Hamper - Large Pink Dinosaur,1,199.00,33,,
,2406031E8D0YQ0,S06-LDHAMP-LLCW,Laundry Hamper - Large Lion Crown,1,199.00,31,,
,2406031H23K3PE,S20-SLCAPD-P1SW,Silicone Case Bluetooth Earphones - Pro 1st Gen - Switch,1,69.00,32,,
,2406031XEX14PG,S05-RFIDWL-GRAY,RFID Card Wallet - Gray,1,55.00,29,,
,240603248T2H0B,S26-RFIDMC-PLGN,RFID Card Wallet with Money Clip - Plain Green,2,239.00,30,,
,24060324AM9J1W,S22-LMSWST-BLCK,Plain Leather Magsafe Snap On Wallet with Stand - Black,1,149.00,32,,
,24060326JYS21B,S02-TOILOR-NAVY,Travel Toiletry Organizer - Navy,1,199.00,30,,
,24060326NC3J45,S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,1,199.00,28,,
,240603287UN530,S20-8TBOTS-GRAY,8-in-1 Travel Bottle Set - Stupid Little Elephant - Gray,1,99.00,27,,
