Item ID,Item_Description,Category,Year_Month_Str,Actual,Baseline_Predicted,Method,GB_Predicted
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2025-07,3,0.9,"ARIMA(1,1,1)",3.4
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2025-08,1,1.1,"ARIMA(1,1,1)",1.0
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2025-09,2,0.3,"ARIMA(1,1,1)",3.2
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2025-10,3,0.1,"ARIMA(1,1,1)",4.2
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2025-11,1,0.5,"ARIMA(1,1,1)",0.9
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2025-12,1,0.0,"ARIMA(1,1,1)",7.1
S01-LDHAMP-LLIO,Laundry Hamper - Large Lion,Organizers,2026-01,5,0.0,"ARIMA(1,1,1)",13.0
S02-FOLDFL-LWHT,Foldable File Organizer - Large White,Organizers,2025-07,1,0.0,"ARIMA(1,1,1)",0.5
S02-FOLDFL-LWHT,Foldable File Organizer - Large White,Organizers,2025-08,3,0.0,"ARIMA(1,1,1)",3.0
S02-FOLDFL-LWHT,Foldable File Organizer - Large White,Organizers,2025-12,10,0.0,"ARIMA(1,1,1)",10.3
S02-FOLDFL-LWHT,Foldable File Organizer - Large White,Organizers,2026-01,2,1.8,"ARIMA(1,1,1)",3.5
S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,Organizers,2025-07,4,12.6,"ARIMA(1,1,1)",4.7
S02-LDHAMP-LCAT,Laundry Hamper - Large Cat,Organizers,2025-08,1,9.0,"ARIMA(1,1,1)",0.0
S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,Organizers,2025-07,1,0.2,"ARIMA(1,1,1)",2.3
S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,Organizers,2025-08,4,0.0,"ARIMA(1,1,1)",4.3
S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,Organizers,2025-09,4,1.8,"ARIMA(1,1,1)",6.3
S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,Organizers,2025-11,5,2.2,"ARIMA(1,1,1)",5.9
S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,Organizers,2025-12,3,3.2,"ARIMA(1,1,1)",2.5
S02-LDHAMP-LDNO,Laundry Hamper - Large Dinosaur,Organizers,2026-01,2,1.8,"ARIMA(1,1,1)",6.1
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2025-07,4,2.3,"ARIMA(1,1,1)",3.7
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2025-08,6,2.7,"ARIMA(1,1,1)",5.6
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2025-09,4,3.3,"ARIMA(1,1,1)",3.8
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2025-10,4,2.7,"ARIMA(1,1,1)",3.5
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2025-11,4,2.6,"ARIMA(1,1,1)",3.5
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2025-12,11,2.5,"ARIMA(1,1,1)",10.4
S02-LDHAMP-MWDY,Laundry Hamper - Medium Washday,Organizers,2026-01,2,5.1,"ARIMA(1,1,1)",1.7
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2025-07,24,75.5,"ARIMA(1,1,1)",23.4
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2025-08,15,34.5,"ARIMA(1,1,1)",14.0
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2025-09,16,15.4,"ARIMA(1,1,1)",15.5
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2025-10,13,16.6,"ARIMA(1,1,1)",10.6
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2025-11,17,14.1,"ARIMA(1,1,1)",11.7
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2025-12,32,16.9,"ARIMA(1,1,1)",32.6
S02-TOILOR-BLAK,Travel Toiletry Organizer - Black,Organizers,2026-01,11,30.9,"ARIMA(1,1,1)",11.2
S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,Organizers,2025-07,35,51.5,"ARIMA(1,1,1)",32.3
S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,Organizers,2025-08,24,34.7,"ARIMA(1,1,1)",23.2
S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,Organizers,2025-09,25,22.8,"ARIMA(1,1,1)",26.4
S02-TOILOR-GRAY,Travel Toiletry Organizer - Gray,Organizers,2025-10,23,26.6,"ARIMA(1,1,1)",22.6
